ID;Antig;Idade;Grau_Acad;Rendimento;Filhos;NumCompras;Dias_UltCompra;Vendas;Choc_PretoSim;Choc_PretoRec;Choc_BrancoSim;Choc_BrancoRec;Choc_Ruby;Ovo_Pascoa
1346;649;65;Licenciatura;92 948 €;1;35;15;1788;28;3;37;15;17;1
1347;702;74;Mestrado;95 995 €;1;20;33;837;47;7;37;1;8;0
1348;1226;77;Licenciatura;107 579 €;1;28;55;1344;18;33;45;2;2;0
1349;938;44;Mestrado;58 524 €;0;6;39;149;87;1;11;1;1;0
1350;1076;39;Mestrado;45 836 €;1;4;55;91;69;1;25;3;2;0
1351;1199;40;Licenciatura;72 007 €;0;14;42;485;36;16;42;1;5;0
1352;1159;63;Mestrado;82 433 €;0;27;48;1276;59;5;29;3;4;1
1353;1116;69;Mestrado;104 414 €;1;38;48;1983;45;8;33;7;7;1
1354;1186;31;Licenciatura;36 893 €;0;4;94;89;67;2;30;0;1;0
1355;711;26;Mestrado;30 263 €;0;5;26;68;37;6;55;1;0;0
1356;1172;50;Licenciatura;73 913 €;1;10;11;294;80;0;9;3;8;0
1357;659;48;Mestrado;56 250 €;1;3;29;66;78;1;18;1;2;0
1358;889;54;Mestrado;86 928 €;1;22;34;953;78;2;19;1;0;1
1359;641;36;Mestrado;29 683 €;0;2;31;21;84;1;14;1;0;0
1360;950;45;Mestrado;71 873 €;1;11;45;343;81;4;12;1;2;1
1361;598;57;Mestrado;87 314 €;1;14;29;482;51;4;26;6;14;0
1362;609;76;Mestrado;111 370 €;1;30;7;1474;36;8;46;7;3;1
1363;1087;29;Mestrado;44 774 €;0;1;438;18;64;2;29;3;2;0
1364;573;73;Mestrado;109 401 €;1;30;51;1472;63;2;33;1;1;1
1365;1154;31;Mestrado;38 170 €;1;4;91;91;33;21;29;9;8;0
1366;631;22;Licenciatura;33 029 €;0;5;1;120;16;18;40;10;15;0
1367;958;41;Licenciatura;60 920 €;0;6;43;150;42;0;36;11;11;0
1368;900;34;Mestrado;47 521 €;0;6;11;151;42;2;45;4;6;0
1369;702;69;Secundario;111 562 €;1;34;29;1725;7;36;52;4;2;0
1370;1088;31;Mestrado;41 905 €;0;5;32;95;21;6;52;6;15;0
1371;1158;19;Secundario;27 416 €;0;1;196;19;43;16;29;10;2;0
1372;1089;60;Licenciatura;85 722 €;1;19;26;769;22;25;29;19;5;0
1373;840;52;Mestrado;71 224 €;1;7;72;187;84;1;14;1;0;0
1374;905;65;Licenciatura;93 328 €;1;17;4;656;22;9;38;14;17;0
1375;951;22;Licenciatura;30 954 €;0;4;54;74;20;5;40;12;23;0
1376;566;43;Licenciatura;59 518 €;0;2;13;33;41;5;43;3;8;0
1377;606;68;Licenciatura;92 465 €;1;23;86;1017;46;5;32;10;8;0
1378;1140;32;Licenciatura;36 084 €;0;5;86;94;51;2;32;2;13;1
1379;1087;30;Doutoramento;42 569 €;0;3;42;41;63;4;29;1;4;0
1380;676;58;Licenciatura;68 419 €;1;7;45;181;38;16;22;7;17;0
1381;929;67;Mestrado;92 147 €;1;28;72;1335;46;2;39;6;7;1
1382;870;49;Licenciatura;62 464 €;1;16;73;605;82;1;15;1;1;0
1383;1132;57;Doutoramento;81 033 €;1;19;59;776;78;0;20;1;1;1
1384;787;61;Secundario;83 884 €;1;12;52;397;34;12;25;3;25;0
1385;799;44;Licenciatura;64 493 €;0;5;26;117;62;1;29;6;2;0
1386;1133;58;Licenciatura;89 884 €;1;20;45;838;46;6;22;17;9;0
1387;1134;78;Mestrado;110 907 €;1;41;7;2167;32;8;48;6;6;1
1388;680;63;Doutoramento;104 170 €;1;26;89;1213;77;2;19;1;2;1
1389;933;61;Mestrado;102 375 €;1;19;35;775;43;12;22;14;10;0
1390;1062;43;Secundario;61 191 €;1;4;4;90;21;20;35;9;15;0
1391;1194;72;Licenciatura;108 936 €;1;44;98;2348;24;21;33;9;13;0
1392;1105;49;Licenciatura;79 867 €;1;20;75;832;78;2;13;0;7;0
1393;783;38;Licenciatura;59 316 €;0;2;13;40;36;6;34;20;4;0
1394;640;63;Licenciatura;106 430 €;1;30;6;1465;57;5;26;6;5;1
1395;702;70;Licenciatura;92 560 €;1;20;91;838;16;24;39;14;7;0
1396;1072;34;Licenciatura;36 286 €;0;5;50;75;41;7;30;9;13;0
1397;1023;57;Mestrado;67 177 €;1;9;94;258;62;13;16;3;6;0
1398;786;55;Mestrado;70 669 €;1;8;51;218;27;32;28;7;6;0
1399;1216;58;Licenciatura;77 385 €;1;21;16;892;71;7;12;7;3;0
1400;759;22;Licenciatura;37 315 €;0;3;1;34;6;30;32;3;29;0
1401;1021;62;Licenciatura;105 186 €;1;27;95;1283;74;5;15;2;4;1
1402;627;34;Mestrado;41 916 €;0;2;24;28;48;0;45;3;4;0
1403;789;72;Licenciatura;89 267 €;1;22;46;956;29;17;32;14;8;0
1404;649;54;Doutoramento;82 915 €;1;16;38;596;86;0;14;0;0;0
1405;672;27;Licenciatura;23 209 €;0;1;295;12;56;6;31;2;5;0
1406;645;71;Mestrado;86 395 €;1;18;53;706;36;5;49;6;4;0
1407;1079;35;Licenciatura;67 552 €;0;13;64;436;72;2;24;1;1;0
1408;844;19;Secundario;35 790 €;1;1;38;19;4;40;18;33;5;0
1409;1191;52;Secundario;64 449 €;0;13;81;437;85;1;9;4;1;0
1410;1107;58;Mestrado;85 132 €;1;23;34;1017;53;5;30;11;0;0
1411;1141;76;Mestrado;105 880 €;1;36;27;1859;37;6;47;8;2;1
1412;810;45;Licenciatura;64 185 €;1;5;75;122;74;1;17;4;4;0
1413;667;43;Licenciatura;68 448 €;0;6;74;147;66;1;28;2;3;0
1414;1062;35;Licenciatura;60 288 €;0;1;396;19;33;7;37;12;11;0
1415;814;75;Mestrado;137 338 €;1;41;16;2167;57;1;34;2;6;1
1416;634;78;Doutoramento;128 392 €;1;40;16;2104;85;1;11;1;2;1
1417;569;53;Doutoramento;85 351 €;0;13;56;437;93;0;7;0;0;1
1418;647;67;Mestrado;113 050 €;1;35;23;1797;23;6;34;19;18;0
1419;1031;69;Licenciatura;87 276 €;1;34;28;1723;46;3;30;4;17;0
1420;987;72;Mestrado;102 896 €;1;44;7;2348;73;4;19;3;1;1
1421;571;51;Mestrado;72 464 €;0;4;51;90;78;1;18;1;1;0
1422;669;25;Mestrado;34 304 €;1;1;538;12;26;20;31;7;16;0
1423;1052;21;Licenciatura;24 315 €;0;3;91;39;13;18;37;16;16;0
1424;953;74;Licenciatura;122 984 €;1;46;35;2467;64;2;30;1;3;1
1425;909;51;Licenciatura;91 684 €;1;24;5;1083;86;1;11;1;1;1
1426;1234;26;Secundario;31 286 €;0;5;73;84;17;7;46;14;16;0
1427;743;67;Mestrado;98 761 €;1;32;64;1607;55;4;19;7;15;0
1428;1040;50;Secundario;71 805 €;1;10;25;300;55;9;18;8;10;0
1429;751;48;Doutoramento;80 227 €;1;19;53;769;94;0;5;0;0;1
1430;554;27;Mestrado;48 096 €;0;2;71;21;22;4;22;19;33;0
1431;1144;32;Doutoramento;67 981 €;0;16;38;591;55;2;36;3;4;1
1432;637;74;Secundario;113 102 €;1;29;69;1402;40;20;20;8;12;0
1433;1230;64;Mestrado;110 837 €;1;43;90;2286;93;1;6;0;0;1
1434;681;45;Mestrado;51 999 €;1;2;2;41;91;0;8;1;0;0
1435;870;55;Mestrado;78 148 €;1;6;45;147;52;15;23;4;6;0
1436;1093;28;Licenciatura;47 720 €;0;3;54;65;19;10;31;36;3;0
1437;760;56;Licenciatura;85 208 €;1;11;60;348;37;3;26;33;1;0
1438;767;47;Secundario;60 745 €;1;16;49;592;51;5;30;6;7;0
1439;1185;72;Mestrado;105 478 €;1;41;21;2170;67;1;24;7;1;1
1440;790;42;Mestrado;57 357 €;1;4;46;69;52;6;25;8;9;0
1441;659;70;Licenciatura;94 709 €;1;20;66;823;33;4;44;9;10;0
1442;996;42;Licenciatura;70 021 €;0;8;41;223;46;1;36;7;11;0
1443;1078;53;Mestrado;56 056 €;1;5;38;117;91;1;7;1;1;0
1444;700;50;Mestrado;94 628 €;1;23;75;1023;87;0;11;2;0;1
1445;896;61;Mestrado;89 653 €;0;22;71;953;62;7;22;2;7;1
1446;767;54;Licenciatura;80 050 €;1;11;72;339;72;1;23;3;1;0
1447;975;21;Licenciatura;30 981 €;1;2;73;36;13;8;35;19;25;1
1448;823;34;Mestrado;60 086 €;0;8;47;219;66;1;29;3;1;0
1449;801;24;Mestrado;31 302 €;0;5;39;118;33;13;46;2;7;0
1450;995;39;Mestrado;46 623 €;0;8;11;217;73;3;21;3;1;0
1451;1203;22;Licenciatura;28 034 €;0;2;63;33;29;5;32;21;13;0
1452;857;20;Secundario;36 977 €;0;3;16;37;2;19;16;56;7;0
1453;863;55;Mestrado;84 327 €;1;19;60;761;78;4;12;3;3;0
1454;574;30;Mestrado;42 248 €;0;2;31;19;63;4;30;2;1;0
1455;743;61;Licenciatura;88 081 €;1;18;49;707;56;8;33;0;3;0
1456;571;54;Secundario;69 523 €;0;7;22;183;71;3;20;4;2;0
1457;1204;26;Mestrado;31 664 €;0;3;62;64;44;5;41;4;6;0
1458;1129;70;Licenciatura;96 303 €;1;29;87;1404;45;2;35;16;1;0
1459;900;61;Mestrado;106 209 €;0;21;82;890;50;4;33;7;5;0
1460;1035;38;Licenciatura;66 230 €;1;17;9;662;54;13;16;16;0;0
1461;671;24;Licenciatura;34 407 €;1;2;43;25;19;18;19;23;21;0
1462;886;72;Licenciatura;127 449 €;1;35;86;1795;19;6;61;9;5;1
1463;990;68;Mestrado;115 195 €;1;36;0;1852;44;0;36;13;7;1
1464;922;55;Mestrado;73 124 €;1;20;56;830;68;3;23;3;2;0
1465;928;72;Mestrado;115 686 €;1;36;75;1860;31;6;50;8;5;0
1466;1149;47;Mestrado;71 537 €;1;24;29;1087;75;1;22;2;1;0
1467;1120;60;Licenciatura;100 923 €;1;29;10;1399;57;11;21;4;7;1
1468;841;62;Licenciatura;87 077 €;1;25;60;1150;62;0;23;8;7;1
1469;1184;45;Licenciatura;76 044 €;0;17;29;649;44;6;40;6;4;0
1470;1003;70;Licenciatura;93 716 €;1;28;30;1341;22;26;36;7;9;0
1471;823;69;Mestrado;112 791 €;1;40;29;2102;64;3;29;0;3;1
1472;1051;69;Licenciatura;96 253 €;1;33;79;1660;36;10;36;8;10;0
1473;647;50;Doutoramento;70 471 €;0;5;43;117;90;0;9;0;1;0
1474;1183;36;Mestrado;50 344 €;0;2;49;42;65;6;25;2;2;0
1475;767;27;Licenciatura;38 847 €;0;2;44;41;22;2;66;5;6;0
1476;1234;62;Mestrado;94 370 €;1;33;62;1658;69;0;22;4;5;0
1477;914;20;Secundario;18 473 €;0;4;43;42;7;22;26;22;23;0
1478;1130;41;Mestrado;61 641 €;0;9;87;253;75;1;22;0;2;0
1479;1048;21;Licenciatura;14 209 €;0;4;64;74;27;22;37;12;2;0
1480;737;39;Licenciatura;53 302 €;0;2;15;41;58;4;25;5;8;0
1481;793;27;Mestrado;47 816 €;0;5;69;88;29;19;32;1;19;0
1482;684;73;Mestrado;90 570 €;1;28;10;1349;78;1;16;2;2;1
1483;1246;68;Mestrado;102 695 €;0;35;10;1796;80;2;14;4;0;1
1484;885;78;Doutoramento;122 962 €;1;42;20;2231;75;0;22;2;0;1
1485;573;26;Licenciatura;19 842 €;0;2;8;17;34;8;45;2;11;0
1486;1151;75;Mestrado;95 122 €;1;30;32;1467;60;4;27;5;4;1
1487;1044;63;Mestrado;97 484 €;1;30;28;1476;64;2;23;7;5;0
1488;829;21;Licenciatura;28 532 €;0;2;73;17;26;6;40;21;7;0
1489;604;30;Secundario;43 846 €;0;4;37;31;13;20;9;10;48;0
1490;1002;42;Licenciatura;39 641 €;0;9;56;259;57;6;35;0;2;0
1491;1183;21;Licenciatura;27 371 €;0;2;34;35;10;23;30;13;24;0
1492;1068;73;Mestrado;100 554 €;1;29;20;1403;54;1;43;1;1;0
1493;1225;42;Licenciatura;46 366 €;1;14;42;492;62;5;27;2;4;0
1494;621;77;Mestrado;139 730 €;1;39;64;2046;51;12;30;4;4;1
1495;771;27;Mestrado;35 677 €;0;4;6;32;48;4;42;4;2;0
1496;1038;44;Mestrado;81 962 €;0;19;66;763;80;1;17;0;1;1
1497;936;43;Mestrado;64 200 €;1;8;24;217;80;1;18;1;1;0
1498;842;76;Mestrado;118 284 €;1;39;50;2045;34;6;45;3;12;1
1499;1233;63;Secundario;100 443 €;1;22;23;946;17;26;22;26;10;0
1500;1034;46;Mestrado;77 207 €;0;13;3;433;69;3;22;2;4;0
1501;957;71;Licenciatura;107 364 €;0;23;88;1020;59;6;18;5;11;1
1502;628;37;Mestrado;63 247 €;0;3;88;66;75;1;18;2;4;0
1503;588;30;Mestrado;40 568 €;0;4;71;55;59;2;31;4;4;0
1504;1057;20;Secundario;10 000 €;0;3;96;29;6;40;19;12;22;0
1505;711;36;Doutoramento;58 873 €;0;2;24;33;68;4;28;0;0;0
1506;655;64;Licenciatura;82 436 €;1;13;99;432;88;2;9;0;1;1
1507;1051;41;Licenciatura;56 437 €;0;7;66;185;25;27;34;10;5;0
1508;917;74;Secundario;92 043 €;1;24;56;1086;29;7;47;11;5;1
1509;1247;56;Secundario;76 848 €;1;21;71;893;34;30;25;8;3;0
1510;1120;25;Mestrado;37 361 €;0;10;7;294;71;1;23;3;2;0
1511;824;46;Doutoramento;76 298 €;1;21;1;899;93;1;5;1;0;0
1512;1238;40;Licenciatura;66 184 €;0;20;28;822;67;1;26;4;2;1
1513;1025;25;Licenciatura;34 866 €;0;2;61;28;18;6;48;8;21;0
1514;581;45;Mestrado;41 159 €;0;2;65;16;31;8;37;24;0;0
1515;933;52;Mestrado;73 941 €;1;13;17;443;77;0;20;1;2;1
1516;645;42;Mestrado;64 549 €;0;1;452;19;69;0;22;5;3;0
1517;762;35;Licenciatura;62 923 €;0;5;80;118;77;1;20;1;1;1
1518;726;68;Secundario;108 514 €;1;36;79;1859;29;12;37;8;14;1
1519;668;77;Licenciatura;100 566 €;1;33;93;1659;31;13;48;6;2;1
1520;1229;45;Licenciatura;57 266 €;1;20;63;839;81;0;15;2;2;1
1521;682;31;Mestrado;59 777 €;0;4;2;90;63;2;31;1;3;0
1522;556;57;Mestrado;95 373 €;1;11;63;346;65;4;28;0;3;0
1523;1115;77;Licenciatura;121 029 €;0;24;94;1088;50;8;28;9;5;0
1524;846;22;Licenciatura;40 406 €;0;5;44;92;38;2;30;14;16;0
1525;991;52;Doutoramento;73 732 €;1;9;22;256;91;0;8;0;0;1
1526;1232;33;Licenciatura;64 538 €;0;17;49;658;54;7;26;10;4;1
1527;997;33;Mestrado;46 942 €;0;7;68;184;52;5;33;5;5;0
1528;1192;57;Mestrado;76 993 €;1;32;27;1595;61;8;16;6;9;0
1529;1124;64;Mestrado;103 133 €;1;34;35;1727;54;1;23;8;14;0
1530;1172;39;Doutoramento;50 795 €;0;5;70;118;66;2;30;0;1;1
1531;790;60;Doutoramento;99 161 €;1;22;19;950;68;1;23;5;3;1
1532;1054;69;Mestrado;109 235 €;1;34;60;1723;68;8;15;1;8;1
1533;592;63;Mestrado;90 354 €;1;13;21;442;71;1;22;2;4;0
1534;811;57;Mestrado;71 681 €;0;9;7;255;62;0;30;4;3;0
1535;1055;30;Secundario;41 412 €;0;2;58;35;25;2;41;11;21;0
1536;1033;40;Mestrado;66 128 €;0;12;26;395;62;7;29;1;1;0
1537;667;46;Licenciatura;65 300 €;1;9;37;261;66;7;18;1;8;0
1538;1152;61;Doutoramento;97 467 €;1;25;39;1151;74;3;19;2;2;0
1539;1243;20;Secundario;17 165 €;1;8;65;223;17;21;16;21;24;1
1540;981;72;Mestrado;121 919 €;1;40;64;2103;46;13;37;3;0;1
1541;925;67;Licenciatura;89 500 €;1;28;86;1348;57;10;18;4;10;1
1542;736;59;Licenciatura;95 821 €;1;17;85;660;28;27;27;12;6;0
1543;835;72;Licenciatura;109 046 €;1;35;23;1792;29;10;50;6;5;1
1544;1033;69;Mestrado;93 838 €;1;20;84;838;66;3;17;6;8;0
1545;746;49;Mestrado;59 145 €;0;5;33;55;31;7;28;20;14;0
1546;1002;50;Licenciatura;74 507 €;1;18;20;711;84;1;13;1;2;1
1547;1022;72;Mestrado;101 944 €;1;30;66;1465;39;8;42;4;7;0
1548;1136;19;Secundario;37 851 €;1;1;549;20;6;25;18;29;22;0
1549;843;36;Mestrado;46 672 €;1;6;77;152;69;0;26;2;3;0
1550;944;37;Mestrado;53 686 €;1;3;3;56;46;8;37;7;2;0
1551;1205;73;Licenciatura;95 582 €;1;35;34;1787;34;4;54;3;4;0
1552;969;55;Mestrado;85 157 €;1;17;28;660;53;7;29;6;5;0
1553;1093;58;Licenciatura;76 622 €;1;22;26;951;42;3;29;14;12;0
1554;813;37;Licenciatura;64 090 €;0;4;26;91;77;1;17;1;4;0
1555;820;30;Mestrado;49 278 €;0;3;56;63;41;10;41;7;1;0
1556;1173;57;Mestrado;90 210 €;1;39;64;2041;67;2;27;2;2;0
1557;1079;39;Doutoramento;44 729 €;0;4;55;92;77;1;21;1;1;0
1558;1192;51;Licenciatura;68 959 €;0;18;12;716;68;10;15;3;4;0
1559;1097;74;Mestrado;88 158 €;1;29;16;1411;43;6;35;7;9;0
1560;999;63;Mestrado;80 917 €;1;24;77;1084;56;1;37;0;5;0
1561;1021;73;Doutoramento;106 097 €;0;32;66;1599;66;3;26;2;3;0
1562;726;31;Licenciatura;63 852 €;0;3;94;65;45;1;45;1;8;0
1563;929;51;Mestrado;93 822 €;1;26;52;1215;82;1;15;0;2;1
1564;1007;40;Secundario;49 711 €;0;1;446;19;63;7;15;8;7;0
1565;771;63;Mestrado;105 483 €;0;30;46;1464;56;3;32;5;4;0
1566;858;42;Licenciatura;50 659 €;0;3;4;55;61;5;31;1;1;0
1567;878;49;Mestrado;69 375 €;1;22;71;952;88;0;11;0;0;0
1568;1054;49;Mestrado;73 465 €;1;11;48;339;78;3;12;3;4;0
1569;1074;74;Mestrado;100 469 €;1;37;70;1923;56;8;30;1;5;1
1570;911;48;Licenciatura;64 386 €;1;12;95;391;81;2;12;3;3;0
1571;772;78;Mestrado;122 409 €;1;39;38;2046;35;11;36;5;14;1
1572;1147;70;Mestrado;99 984 €;1;30;12;1468;43;3;39;6;10;0
1573;700;44;Licenciatura;58 409 €;0;2;94;31;36;9;44;6;5;0
1574;1233;52;Mestrado;65 692 €;0;20;92;831;77;1;20;1;1;0
1575;1024;73;Mestrado;99 890 €;1;38;78;1985;49;3;46;1;1;1
1576;825;58;Secundario;88 207 €;1;19;1;778;18;42;11;16;13;0
1577;686;36;Secundario;49 102 €;0;5;40;117;48;4;36;4;8;0
1578;1139;34;Mestrado;43 141 €;0;6;58;148;53;1;34;10;2;1
1579;608;53;Mestrado;81 290 €;1;9;33;264;87;1;11;1;0;0
1580;1002;57;Mestrado;87 033 €;1;18;9;706;55;2;31;10;2;0
1581;738;32;Mestrado;30 591 €;0;4;67;50;39;7;38;6;10;0
1582;1147;20;Secundario;10 000 €;1;5;24;70;5;26;21;16;32;0
1583;1065;35;Licenciatura;50 687 €;0;3;60;63;70;3;22;1;3;0
1584;832;78;Mestrado;134 689 €;1;45;99;2412;58;3;33;0;5;1
1585;849;34;Mestrado;55 403 €;0;11;52;346;83;1;15;1;0;0
1586;1088;46;Mestrado;76 133 €;1;19;98;771;72;10;10;4;4;0
1587;921;40;Licenciatura;59 066 €;0;2;65;41;74;1;24;1;0;0
1588;682;49;Mestrado;79 670 €;1;15;80;546;93;0;6;1;0;1
1589;835;75;Licenciatura;124 487 €;0;23;90;1019;38;4;43;10;6;0
1590;745;20;Secundario;33 103 €;0;3;49;28;15;34;19;32;0;0
1591;762;23;Mestrado;38 678 €;0;3;19;40;15;16;39;18;13;0
1592;574;75;Mestrado;103 261 €;1;35;10;1786;42;6;30;7;15;1
1593;1082;35;Mestrado;33 795 €;0;2;92;24;50;4;37;4;5;0
1594;694;66;Mestrado;88 946 €;1;22;78;958;78;3;16;0;3;1
1595;958;39;Secundario;63 621 €;0;5;56;117;20;18;42;17;3;0
1596;787;33;Licenciatura;40 075 €;0;6;71;153;53;15;18;1;13;0
1597;705;51;Licenciatura;75 974 €;1;26;91;1211;75;4;18;2;1;1
1598;1156;55;Mestrado;73 508 €;1;17;16;652;47;8;36;2;7;1
1599;1014;78;Mestrado;122 826 €;1;46;1;2471;50;3;37;4;6;1
1600;737;38;Doutoramento;46 143 €;0;5;12;48;79;2;16;1;2;0
1601;910;29;Licenciatura;57 509 €;0;7;83;183;19;7;50;20;5;0
1602;739;46;Licenciatura;70 622 €;1;12;90;391;76;2;17;2;3;0
1603;835;25;Mestrado;45 552 €;0;3;31;48;37;5;48;6;4;0
1604;1199;36;Licenciatura;43 527 €;0;4;98;92;63;5;26;6;0;0
1605;822;62;Mestrado;99 946 €;0;29;41;1404;77;3;16;2;2;0
1606;1059;56;Licenciatura;84 282 €;1;23;95;1027;37;0;41;10;11;0
1607;878;69;Mestrado;88 845 €;1;22;21;955;52;5;27;7;10;0
1608;825;72;Licenciatura;110 209 €;1;40;71;2101;46;8;32;9;5;1
1609;650;66;Mestrado;100 235 €;1;30;100;1473;65;2;30;1;2;1
1610;730;73;Licenciatura;109 032 €;1;45;97;2411;40;6;41;11;1;1
1611;1214;31;Licenciatura;28 859 €;0;4;75;47;30;2;49;8;11;0
1612;806;19;Secundario;10 000 €;0;3;8;23;5;24;12;26;33;0
1613;961;60;Mestrado;80 870 €;1;20;68;830;73;4;19;1;3;1
1614;902;23;Licenciatura;33 669 €;0;1;326;14;8;27;31;14;20;0
1615;1165;51;Mestrado;61 318 €;1;10;97;300;46;11;29;7;8;0
1616;1184;65;Mestrado;117 670 €;1;42;28;2228;33;13;51;3;0;1
1617;879;68;Mestrado;95 678 €;1;30;42;1467;43;3;49;4;2;0
1618;1068;42;Licenciatura;64 185 €;0;7;5;188;48;2;42;8;0;0
1619;1100;30;Secundario;53 399 €;1;20;88;830;48;12;25;4;11;0
1620;567;68;Mestrado;107 131 €;1;31;89;1534;72;3;18;4;3;1
1621;871;66;Mestrado;119 218 €;1;39;86;2043;47;4;40;4;4;1
1622;738;65;Doutoramento;87 060 €;1;17;19;652;56;5;18;4;17;0
1623;1194;77;Licenciatura;106 995 €;1;40;62;2105;31;6;44;5;14;0
1624;910;26;Mestrado;55 886 €;0;17;99;655;41;1;50;5;3;0
1625;1247;35;Doutoramento;50 698 €;0;17;64;647;74;0;24;1;1;0
1626;596;29;Mestrado;39 363 €;0;1;136;14;33;12;47;8;0;0
1627;1148;49;Mestrado;70 630 €;1;22;92;952;90;0;8;1;1;0
1628;554;59;Licenciatura;79 736 €;1;8;27;222;62;4;22;1;11;0
1629;620;59;Mestrado;98 189 €;1;25;68;1156;78;3;18;1;0;1
1630;778;53;Doutoramento;73 953 €;1;15;51;545;96;0;4;0;0;1
1631;1134;31;Mestrado;46 522 €;0;9;91;259;53;2;33;5;7;0
1632;599;38;Mestrado;69 054 €;0;7;66;188;76;1;17;4;3;0
1633;745;68;Mestrado;116 343 €;1;26;39;1218;24;8;53;12;3;0
1634;1217;66;Mestrado;84 670 €;1;31;40;1541;65;1;22;6;6;0
1635;975;20;Secundario;27 974 €;1;4;14;43;5;29;25;10;31;0
1636;676;77;Mestrado;132 431 €;1;46;92;2470;56;5;26;11;2;1
1637;1116;38;Mestrado;68 052 €;0;10;11;295;34;22;27;17;0;0
1638;1141;57;Mestrado;82 877 €;1;21;87;900;55;9;25;10;1;0
1639;701;66;Mestrado;107 727 €;0;24;14;1090;63;4;29;3;1;1
1640;1101;27;Mestrado;39 629 €;0;2;32;42;30;10;53;1;7;0
1641;1121;26;Licenciatura;44 469 €;0;11;44;343;31;14;27;10;18;0
1642;1100;25;Mestrado;10 182 €;1;3;29;33;46;11;33;6;4;0
1643;739;63;Licenciatura;90 674 €;0;16;13;591;37;0;23;2;38;0
1644;781;37;Mestrado;47 569 €;0;2;21;34;75;1;21;2;1;0
1645;892;40;Licenciatura;70 721 €;0;5;88;117;48;7;32;5;8;0
1646;992;68;Mestrado;99 930 €;1;31;57;1536;42;3;39;7;10;0
1647;601;23;Mestrado;47 382 €;0;1;503;19;20;5;48;17;11;0
1648;809;48;Doutoramento;53 792 €;1;8;48;217;97;0;3;0;0;0
1649;565;42;Mestrado;65 649 €;0;3;4;66;73;1;22;3;2;0
1650;1028;31;Mestrado;43 060 €;0;2;52;40;60;4;26;5;5;0
1651;975;39;Doutoramento;51 603 €;0;5;6;119;68;2;27;2;1;0
1652;1064;22;Licenciatura;26 717 €;0;1;323;13;19;5;55;6;15;0
1653;854;55;Licenciatura;79 068 €;1;15;26;539;50;6;21;21;2;0
1654;624;28;Mestrado;36 229 €;0;2;8;19;22;18;40;3;17;0
1655;927;60;Mestrado;83 592 €;0;17;29;655;58;1;24;3;14;0
1656;1078;75;Licenciatura;115 623 €;1;34;20;1724;20;11;28;22;19;0
1657;729;23;Mestrado;55 943 €;0;3;98;64;17;15;50;0;18;0
1658;1039;42;Mestrado;55 301 €;0;12;29;386;70;1;27;0;2;0
1659;759;55;Mestrado;87 553 €;1;21;77;901;25;18;43;9;4;0
1660;1179;66;Mestrado;78 801 €;1;24;76;1089;28;16;39;12;5;0
1661;813;41;Doutoramento;61 377 €;0;3;28;64;74;1;24;1;0;0
1662;585;38;Licenciatura;52 407 €;0;3;1;36;57;5;31;4;3;0
1663;743;72;Secundario;112 747 €;1;26;76;1207;11;22;22;19;26;0
1664;748;20;Secundario;23 615 €;1;2;39;31;9;18;46;15;12;0
1665;1000;20;Secundario;22 038 €;1;1;12;19;12;26;13;35;14;0
1666;1170;55;Mestrado;85 182 €;1;21;1;887;66;3;26;1;4;0
1667;1210;18;Secundario;34 620 €;1;3;29;56;5;5;21;56;13;0
1668;686;70;Mestrado;125 745 €;1;40;44;2109;63;5;24;2;6;1
1669;1185;20;Secundario;15 975 €;0;2;62;32;13;4;45;16;21;0
1670;611;37;Secundario;55 617 €;0;6;57;149;52;6;30;5;7;0
1671;1193;43;Mestrado;73 525 €;0;15;65;542;60;0;37;2;1;1
1672;1093;38;Doutoramento;56 752 €;1;16;28;600;54;8;31;5;3;1
1673;848;63;Licenciatura;90 217 €;1;34;62;1727;26;32;35;3;4;0
1674;967;78;Licenciatura;95 803 €;1;24;29;1087;33;10;38;10;9;0
1675;1153;70;Mestrado;123 608 €;1;42;76;2229;27;5;59;3;6;1
1676;1118;54;Mestrado;73 340 €;0;14;26;489;67;3;27;1;2;0
1677;721;74;Licenciatura;94 594 €;1;24;71;1091;42;20;27;2;9;0
1678;769;64;Mestrado;106 343 €;1;27;98;1273;69;1;27;2;1;1
1679;1076;20;Secundario;10 000 €;1;1;138;14;37;7;30;24;3;0
1680;623;37;Secundario;38 276 €;0;3;60;35;52;13;23;9;2;0
1681;1199;20;Secundario;24 615 €;0;4;93;35;5;47;35;12;1;0
1682;1141;56;Mestrado;86 099 €;1;23;58;1021;59;6;26;5;4;0
1683;790;50;Mestrado;69 960 €;1;19;87;777;46;5;31;16;2;0
1684;711;34;Secundario;57 493 €;0;7;85;185;23;3;37;19;18;0
1685;804;31;Licenciatura;40 671 €;0;1;464;17;20;7;35;21;17;0
1686;1006;41;Secundario;67 941 €;0;11;34;338;77;6;15;1;1;0
1687;1190;51;Licenciatura;68 722 €;1;11;63;339;81;0;16;1;2;0
1688;1055;41;Mestrado;64 548 €;0;8;51;218;75;2;19;4;0;0
1689;1175;70;Mestrado;101 100 €;1;40;40;2107;49;5;37;5;5;1
1690;551;76;Licenciatura;106 588 €;1;23;72;1026;12;16;26;17;29;0
1691;1131;67;Licenciatura;86 747 €;1;36;74;1855;39;16;23;16;6;0
1692;654;41;Mestrado;54 559 €;0;2;19;36;80;1;17;1;1;0
